Código ,Nombre,Código ,Nombre,Código ,Nombre,,LATITUD,LONGITUD
05,ANTIOQUIA,05107,BRICEÑO,05107000,BRICEÑO,CM,7.1148829469999999,-75.548130216000004
05,ANTIOQUIA,05107,BRICEÑO,05107001,BERLÍN (PUEBLO NUEVO),CP,7.1075897059999997,-75.625932273000004
05,ANTIOQUIA,05107,BRICEÑO,05107002,EL ROBLAL,CP,7.1376526370000004,-75.586774633000005
05,ANTIOQUIA,05107,BRICEÑO,05107003,LAS AURAS,CP,7.1933605780000001,-75.515009625999994
05,ANTIOQUIA,05107,BRICEÑO,05107004,TRAVESIAS,CP,7.1339715379999999,-75.571769853999996
05,ANTIOQUIA,05113,BURITICÁ,05113000,BURITICÁ,CM,6.719729847,-75.907495506000004
05,ANTIOQUIA,05113,BURITICÁ,05113001,EL NARANJO,CP,,
05,ANTIOQUIA,05113,BURITICÁ,05113002,GUARCO,CP,,
05,ANTIOQUIA,05113,BURITICÁ,05113003,TABACAL,CP,6.8059234789999996,-75.914509976999994
05,ANTIOQUIA,05113,BURITICÁ,05113004,LLANOS DE URARCO,CP,,
05,ANTIOQUIA,05113,BURITICÁ,05113005,LA ANGELINA,CP,,
05,ANTIOQUIA,05113,BURITICÁ,05113008,LA MARIELA,CP,6.7269399950000004,-75.906472597999993
05,ANTIOQUIA,05120,CÁCERES,05120000,CÁCERES,CM,7.5783154509999999,-75.352357487000006
05,ANTIOQUIA,05120,CÁCERES,05120002,EL JARDÍN (TAMANÁ),CP,7.7547735749999998,-75.253888305000004
05,ANTIOQUIA,05120,CÁCERES,05120003,GUARUMO,CP,7.8540177409999998,-75.208141299000005
05,ANTIOQUIA,05120,CÁCERES,05120004,MANIZALES,CP,7.8368375610000003,-75.414361436999997
05,ANTIOQUIA,05120,CÁCERES,05120006,PUERTO BÉLGICA,CP,7.6650823890000002,-75.284670278999997
05,ANTIOQUIA,05120,CÁCERES,05120010,PIAMONTE,CP,7.7828770450000002,-75.205584062
05,ANTIOQUIA,05120,CÁCERES,05120012,RÍO MAN,CP,7.9444500309999997,-75.208102561000004
05,ANTIOQUIA,05120,CÁCERES,05120013,LAS PAMPAS,CP,7.7155636190000001,-75.272529786000007
05,ANTIOQUIA,05120,CÁCERES,05120014,NICARAGUA,CP,7.7343093180000002,-75.384177308000005
05,ANTIOQUIA,05120,CÁCERES,05120015,PUERTO SANTO,CP,7.8012880210000004,-75.204576571999993
05,ANTIOQUIA,05125,CAICEDO,05125000,CAICEDO,CM,6.4056066070000002,-75.982930037000003
05,ANTIOQUIA,05129,CALDAS,05129000,CALDAS,CM,6.0912967470000003,-75.633618781999999
05,ANTIOQUIA,05129,CALDAS,05129001,EL CAÑO,CP,6.1077061930000003,-75.640528947999996
05,ANTIOQUIA,05129,CALDAS,05129002,LA RAYA,CP,6.1113019230000001,-75.640823076999993
05,ANTIOQUIA,05129,CALDAS,05129004,LA MIEL,CP,6.1025868499999998,-75.622236943999994
05,ANTIOQUIA,05129,CALDAS,05129005,LA CORRALITA,CP,6.0883345970000002,-75.620937010000006
05,ANTIOQUIA,05129,CALDAS,05129006,LA PRIMAVERA SANTA CRUZ,CP,6.0677736749999998,-75.637212238000004
05,ANTIOQUIA,05129,CALDAS,05129007,EL RAIZAL,CP,6.0876987319999998,-75.645152831000004
05,ANTIOQUIA,05129,CALDAS,05129008,LA CLARA,CP,6.0480230940000004,-75.619806564000001
05,ANTIOQUIA,05129,CALDAS,05129009,LA QUIEBRA,CP,6.0603530330000002,-75.648240130999994
05,ANTIOQUIA,05129,CALDAS,05129010,LA SALADA PARTE BAJA,CP,6.0499494309999999,-75.624601780999996
05,ANTIOQUIA,05129,CALDAS,05129011,LA TOLVA,CP,6.0594610229999999,-75.637921880999997
